input_id,out_v1,out_v2,out_v3
H000702-WB4RNW,-265727,-147784,-265727
H000703-OJLUY9,-85312,-57500,-85312
H000706-TAXIEF,683381,139008,683381
H000707-GZXVJ6,-290139,-272154,-290139
H000709-FCZD1B,6532433,907219,6532433
H000711-RA5SX4,-115519,1348970,-115519
H000712-MUYM8G,-210116,-356996,-210116
H000713-UL73NX,4903287,1380205,4903287
H000714-PEFSTE,5465816,4950016,5465816
H000715-Y4LP6T,1313711,2287286,1313711
H000716-1P7Z9V,-80174,-74593,-80174
H000717-H7TYOE,341958,-19463,341958
H000719-0W7J6D,2198734,2981704,2198734
H000720-8Y1PAK,2799084,976014,2799084
H000721-5NZ6VL,827261,114667,827261
H000723-E9XNQK,-276338,-5572,-276338
H000724-3X9TY7,3213840,2359135,3213840
H000725-MQ0QVD,1153035,454745,1153035
H000726-W96T30,5406670,3478498,5406670
H000727-5UZLXC,-345490,-336166,-345490
H000728-JJC0OD,3267006,1575177,3267006
H000729-Z2CUQ0,-83326,-186787,-83326
H000730-X7FNNC,-10879,1332433,-10879
H000731-XW1FH1,2460534,3073816,2460534
H000732-GNFTQJ,-263085,2171425,-263085
H000733-G128X4,557401,0,557401
H000736-RLV1MO,-411898,-193325,-411898
H000737-CZ78YM,3287162,2638146,3287162
H000739-3W3X6T,20255,-85487,20255
H000740-7M06QR,1771822,2256570,1771822
H000742-UB86VZ,-546422,-303899,-546422
H000744-215U3O,1157440,2137723,1157440
H000745-R68AUO,3811700,1171308,3811700
H000746-3501FA,706534,0,706534
H000747-K2ZBOQ,-24924,-246178,-24924
H000748-PWK8F9,5845552,-19306,5845552
H000749-V844SU,910293,1221087,910293
H000750-PSZ54R,3669233,1735242,3669233
H000751-P6TN0L,788119,461348,788119
H000752-H0V1KL,6015187,4944987,6015187
H000753-ZQZQIG,-48742,2194352,-48742
H000754-NOG4A4,206631,1284395,206631
H000755-DWALJH,245846,182,245846
H000756-GH3ODT,1989872,1483151,1989872
H000757-GPJ6J2,643200,0,643200
H000759-3AY3W1,2380223,4633211,2380223
H000760-Y6BX5R,3200971,3764191,3200971
H000761-Q29WK8,471631,523134,471631
H000762-9TR8ZM,8867197,3941030,8867197
H000763-050Y3R,-518426,-274633,-518426
H000765-P00ZGF,4816104,4516805,4816104
H000767-IY8Q69,111984,-59442,111984
H000769-8ZRDKL,226755,95321,226755
H000770-BJCDCK,-137177,-111881,-137177
H000771-NTML8Z,-329745,-226479,-329745
H000772-01B05Y,-155369,111988,-155369
H000773-RX2RW0,-926429,-1154111,-926429
H000774-SC43CW,2653515,1917393,2653515
H000775-SCB7Q1,-60003,-124377,-60003
H000776-VP3NHQ,3933583,2388209,3933583
H000779-S4O6RL,-38157,149556,-38157
H000780-G8G59O,6903532,7600266,6903532
H000782-HE57ES,2922969,1627969,2922969
H000783-8YUNMS,6345861,5714825,6345861
H000784-BIFVMB,-325706,-552400,-325706
H000785-NB3LDQ,-778502,-690164,-778502
H000786-N927HL,-409118,-515354,-409118
H000787-R3ISRY,6811184,3909278,6811184
H000788-UPGPU8,224301,185628,224301
H000789-KUK4G2,0,2352075,0
H000790-SPDISG,-408727,-26265,-408727
H000791-EKVR0L,6514297,3138552,6514297
H000792-W3DVL9,1224513,3676128,1224513
H000793-IORYSA,1637462,3814,1637462
H000794-EMVZRE,11262747,4134874,11262747
H000796-57ZJOS,-207688,-379240,-207688
H000797-ZGUVXZ,2074563,1513144,2074563
